东迦柯姆镇	ドンガコームの町
希提泰尔遗迹	シティテール遺跡
希雷帕柯姆镇	シレパコームの町
帕拉吉洛亚采掘场	パラジロア採掘場
帕拉迪斯堡垒	パラディス砦
帕斯特利蒙德屯驻地	パストリモンド駐屯地
帕雷比亚大教堂	パレヴィア大聖堂
帕雷比亚港	パレヴィア港
帕雷比亚镇	パレヴィアの町
帕雷霍茨遗迹	パレホーツ遺跡
幽世之门	幽世の門
库库尔塔镇	クークルタの町
库柏雷遗迹	クヴェレ遺跡
库雷托亚镇	クレイトゥーアの町
废港瓦斯特达恰	廃港ヴァストダーチャ
康吉亚奇镇	コンキアージの町
康纳迪欧堡垒	カンナッデオ砦
弓之英雄雕像	弓の英雄像
弗莱巴遗迹	フライバー遺跡
彻里威尔镇	チェリーウェルの町
德拉肯加德圣所	ドラケンガルド聖所
德拉肯加德墓地	ドラケンガルドの墓所
德拉肯加德采掘场	ドラケンガルド採掘場
德莱鲍姆镇	ドライバウムの町
戈拉扎马克镇	ゴラザマックの町
戈萨亨采掘场	ゴーサヘンの採掘場
戈萨方斯镇	ゴーザファウスの町
戴亚格尔夫镇	ダイアグルフの町
拉克利泽镇	ラクリーゼルの町
拉法屯驻地	ラッファ駐屯地
拜德利布屯驻地	バイドリーブ駐屯地
挖宝游戏	ディグゲーム
提修德内镇	ティシュドネの町
教堂	聖堂
斗技场	闘技場
斧之英雄雕像	斧の英雄像
斯姆图卡镇	スムトゥッカの町
斯普林桑遗迹	スプリングサン遺跡
斯泰斯拉弗采掘场	スタイスラブ採掘場
斯潘巴古采掘场	スパンバグ採掘場
斯里林屯驻地	スリーリン駐屯地
旺比镇	ワーンビーの町
普奇塞雷遗迹	プーチセーレの遺跡
普拉修瓦利镇	プラシュヴァリの町
普林泽萨教会	プリンゼッサ教会
普罗斯路尼镇	プロスルーニの町
普里茨特拉泽要塞	プリツトラーゼ要塞
普雷努堡垒	プレーヌ砦
普鲁帕弗镇	プルムパフムの町
曼图诺堡垒	マントゥノ砦
曼特夏多遗迹	マントシャト遺跡
朗加怀特遗迹	ランガワイト遺跡
村镇	町
杖之英雄雕像	杖の英雄像
杰奎琳遗迹	ジユクリーヌの遺跡
枪之英雄雕像	槍の英雄像
柯莫兰赛尔采掘场	コモランザイル採掘場
格兰科利努城	グランコリヌ城
格兰科利努要塞东部	グランコリヌ城塞東
格兰科利努要塞西部	グランコリヌ城塞西
格罗蒙德堡垒	グロモンド砦
格雷希尔堡垒	グレーヒル砦
格鲁堡垒	グルー砦
桑德里奇镇	サントルリッシュの町
桥	橋
梅扎堡垒	メッツァ砦
梅里埃特拉镇	メリエテラの町
榭契镇	シェッツェの町
歇尔泽科瓦镇	エルゼクーバの町
死神石板	死神の石板
死者石板	死者の石板
比利迦遗迹	ビーリジャーの遺跡
比斯法因大教堂	ビスファイン大聖堂
比格斯塔戈纳屯驻地	ビグスタグナ駐屯地
比里疆希尔堡垒	ビリジャンヒル砦
沃切斯塔堡垒	ワーチェスター砦
沃斯弗拉加镇	ヴォースフラーガの町
沃斯米纳克废墟	ヴォースミナクの廃墟
沃罗纳格鲁镇	ヴォロナグルーの町
法伊库屯驻地	ファイクー駐屯地
法吉格堡垒	ファジーグ砦
法森镇	ファソンの町
波奇巴遗迹	ポーチバ遺跡
波尔多镇	ボルドーの町
波西巴纳冰窟	ボーシバナー氷穴
泰泽隆堡垒	テザロン砦
泽尔库巴堡垒	ゼルクーバ砦
泽朋基法遗迹	ゼブンキーファ遺跡
泽诺伊拉圣所	ゼノイラ聖所
洛克乌罗斯镇	ロックウロスの町
洛克奇尔屯驻地	ロックキル駐屯地
洛库堡垒	ロークー砦
洛斯特弗德镇	ローストフォードの町
派瓦伊卡采掘场	パイヴァイッカ採掘場
派瓦凯亚堡垒	パイヴァケア砦
海马石板	海馬の石板
温斯艾比镇	ウィングスアビーの町
温柏尔康斯关隘	ウンバルコンス関所
港镇乌夫里尔	港町ウーヴリール
港镇伊索维达	港町イッソヴェーダ
港镇克拉尼希	港町クラーニヒ
港镇冯提艾	港町フォンティエ
港镇博伊尼克拉	港町ヴォイニコラ
港镇尼贝萨莫斯特	港町ニベッサモスト
港镇希特隆普尔	港町シトロンプール
港镇德沃尔匹斯	港町デヴォルピルス
港镇扎加提鲁	港町ザガテュール
港镇扎加沃纳	港町ザガヴォーナ
港镇普里迦沙利	港町プリガシャーリ
港镇汀瓦克兰	港町テンヴァクラン
港镇汉普顿	港町ハンプトン
港镇洛尼维休	港町ローニヴィッシュ
港镇胡尔斯	港町フルス
港镇苏尔苏德	港町スルスド
港镇鲁诺凯尤	港町ルノケイユ
熊石板	熊の石板
牛头人石板	ミノタウロスの石板
特列斯村	トレーズの村
特拉罗沙堡垒	テラローザ砦
特瓦平屯驻地	トワピン駐屯地
特瓦普采掘场	トワプ採掘場
特里戈达屯驻地	トリゴーダ駐屯地
独角兽石板	一角獣の石板
狮鹫石板	グリフォンの石板
狼石板	狼の石板
环形石阵	環状列石
珀尔特尔堡垒	ポルトル砦
班斯贝格镇	バンスベルクの町
班浦镇	バーンプールの町
瑟巴托谢特堡垒	セバトシェット砦
瓦尔塔特屯驻地	ヴァルタート駐屯地
瓦斯特库格拉镇	ヴァストクゴラの町
瓦萨海尔屯驻地	ワーサヘル駐屯地
瓦里夏洛大桥	ヴァリーシャロー大橋
瓦里夏洛大桥东岸	ヴァリーシャロー大橋東詰
瓦里夏洛大桥西岸	ヴァリーシャロー大橋西詰
皮耶金普堡垒	ピエキンプ砦
盗贼堡垒	盗賊砦
瞭望台	見張り台
石板	石板
祈祷雕像：雨	祈りの像：雨
祈祷雕像：雷	祈りの像：雷
祈祷雕像：龙卷	祈りの像：竜巻
福克斯维尔堡垒	フォックスウェル砦
科尔凯亚堡垒	コルケーア砦
科尔尼亚圣所	コルニア聖所
科尔尼亚墓地	コルニアの墓所
科尔尼亚采掘场	コルニア採掘場
科尔巴扎特屯驻地	コルバツァット駐屯地
科尔梅堡垒	コルメ砦
科尔梅雷佳斯堡垒	コルメレンガス砦
科尔马堡垒	コルマー砦
穆提瓦兰遗迹	ムーティワラン遺跡
穆斯塔玛佩屯驻地	ムスタマーペ駐屯地
章鱼石板	蛸の石板
米亚关隘	ミア関所
米亚镇	ミアの町
米达提耶塔遗迹	ミタティエータ遺跡
索伊尔堡垒	ソイル砦
索力吉堡垒	ソリジー砦
索姆镇	ソームの町
索尔威尔镇	ソルウェルの町
索尔德拉迦城	ソルドラーガ城
索尔德拉迦城外郭	ソルドラーガ城外郭
索尔斯塔采掘场	ソルスター採掘場
索瓦雷卡姆村	ソワレカルムの村
索莱由遗迹	ソレイユ遺跡
约奇斯芬遗迹	ヨキスフンの遺跡
约尼希遗迹	ヨンニッヒの遺跡
纳萨里屯驻地	ナサーリ駐屯地
维利卡采掘场	ヴィリカ採掘場
维古威拉屯驻地	ヴェークウィラ駐屯地
维塔克屯驻地	ウィッターク駐屯地
维尔塔镇	ヴィルタの町
维斯托夫屯驻地	ヴェストーヴァ駐屯地
维泽屯驻地	ヴィーゼ駐屯地
维洛屯驻地	ウィロー駐屯地
维西马克屯驻地	ヴィーシマク駐屯地
罗恩采掘场	ローン採掘場
翁帕莱斯特镇	オンパラストの町
肯塔利镇	ケンターリの町
艾坦里吉堡垒	エタンリジー砦
艾奇努采掘场	エチーヌ採掘場
艾尔海姆圣所	エルヘイム聖所
艾尔海姆墓地	エルヘイムの墓所
艾尔海姆采掘场	エルヘイム採掘場
艾斯波亚教会	エスポア教会
艾特伍德屯驻地	エイトウッド駐屯地
苏多镇	スッドの町
英泽尔屯驻地	インゼル駐屯地
英泽尔教会	インゼル教会
英雄雕像	英雄像
荆棘之塔东门	茨の塔東門
荆棘之塔北门	茨の塔北門
荆棘之塔南门	茨の塔南門
莫斯特尼加镇	モストニーガの町
莱贝尔采掘场	ライベル採掘場
营地	野営地
萨利柯蒂镇	サーリコティの町
萨塔玛镇	サタマの町
葛拉布蒙德村	グラーブモンドの村
葛雷朱镇	グレージュの町
蒂尔德遗迹	ティルデの遺跡
蒙塔利布雷教会	モンタリブレ教会
蒙特塞尔堡垒	モントセル砦
藏提埃斯塔镇	ゾンティエスタの町
蛇石板	蛇の石板
蝎石板	蠍の石板
西普利堡垒	シプレ砦
要塞都市	城塞都市
要塞都市亚德普提	城塞都市アドプティ
要塞都市佩兹顿	城塞都市ペイズトン
要塞都市尤奎特	城塞都市ユークイット
要塞都市巴巴奇莫	城塞都市バールバチモ
要塞都市德拉科多利纳	城塞都市ドラコドリナ
要塞都市拉简	城塞都市ラージョン
要塞都市沃里坦	城塞都市ヴォーリターン
要塞都市索尔巴库夸多	城塞都市ソルバクワッド
诺伊莫特堡垒	ノイモート砦
诺佛西遗迹	ノフォッシ遺跡
诺德普拉日镇	ノルドプラージュの町
贝斯洛普遗迹	ベースロープの遺跡
贝特拉纳堡垒	ベーテラーナ砦
贝里巴利镇	ベリーバリーの町
贝雷姆戈利亚村	ベレムゴリアの里
赛克特利卜镇	セクトリーブの町
赛培尔堡垒	セーヴェル砦
赛巴迦拉教会	セーバガーラ教会
赫尔修坦堡垒	ヘルシュタン砦
赫尔修坦采掘场	ヘルシュタン採掘場
赫尔姆央镇	ヘルムヤンの町
赫文利巴西门	ヘブンリバー西門
赫文利巴镇	ヘブンリバーの町
路希卡朱马拉镇	ルヒカジュマラの町
辛伯达加姆冰窟	シンヴォダガーム氷穴
辛斯提采掘场	シンステイ採掘場
达茶纳尼镇	ダーチャナーニャの町
迦乌瓦尔哥遗迹	ジャウヴァルコ遺跡
遗迹	遺跡
邱扎堡垒	チューザー砦
采掘场	採掘場
里吉普修屯驻地	リジーブーシュ駐屯地
里巴拉普屯驻地	リバラップ駐屯地
里德普雷利村	リードプレリの村
金斯洛克堡垒	キングスロック砦
钓场	釣り場
锻造师	鍛治師
防盾	防盾
阿什蒙特遗迹	アシェモント遺跡
阿尔比昂圣所	アルビオン聖所
阿尔比昂墓地	アルビオンの墓所
阿尔比昂采掘场	アルビオン採掘場
阿布尔遗迹	アーブル遺跡
阿拉斯堡垒	アラス砦
阿瓦格村	アヴァーグの村
隆格拉吉堡垒	ロンゲラジ砦
隆特利亚堡垒	ロンテリア砦
隆莫特教会	ロンモート教会
雅尼斯镇	ヤニスの町
雷卡赛巴屯驻地	レカセーバ駐屯地
霍赞特堡垒	ホーザント砦
露奈佐屯驻地	ルーナイッツォ駐屯地
韦布伊尔遗迹	ウェブイルの遺跡
韦布伊尔镇	ウェブイルの町
风门	風門
飞龙石板	飛竜の石板
香杜里堡垒	シャンドゥリ砦
高特弗鲁废墟	ゴッフルーフの廃墟
高瓦镇	ガウファの町
魔像石板	ゴーレムの石板
鲍姆拉特斗技场	バウムラッテ闘技場
鲍德里纳教会	バウドリーナ教会
鲍斯坦因采掘场	バウスタイン採掘場
鸡蛇石板	コカトリスの石板
鹫石板	鷲の石板
鼠石板	鼠の石板
－	－
