# ID	英文	日文	简体中文	类型	消耗	物理威力	魔法威力	命中	目标范围	首个效果参数
53	Impulse	インパルス	冲荡	A	1	100	0	100	1	0.5
54	Hache	ハッシュ	精细斩击	A	1	100	0	100	1	0
55	Saint's Blade	セイントブレード	圣洁一剑	A	1	50	0	100	1	25
56	Slice	スライス	削击	A	1	100	0	100	1	0
57	Divine Cross	ディバインクロス	神圣十字	A	2	50	50	100	1	0
58	Vertical Edge	バーティカルエッジ	垂直之刃	A	1	100	0	100	1	0.5
59	Iron Crusher	アイアンリッパー	钢铁撕扯	A	1	100	0	100	1	0.5
60	Brandish	ブランディッシュ	乱舞	A	2	50	0	100	1	0.5
61	Burning Edge	バーンエッジ	灼热之刃	A	1	75	0	100	1	1
62	Inferno	インフェルノ	炼狱	A	2	100	0	100	6	0.5
63	Long Thrust	ロングスラスト	长枪穿刺	A	1	100	0	100	7	0
64	Javelin	ジャベリン	标枪	A	1	100	0	100	1	50
65	Flame Javelin	フレイムジャベリン	烈火标枪	A	2	150	0	100	1	50
66	Honed Spear	エンハンスドスピア	强化利矛	A	2	130	0	100	7	0
67	Assaulting Lance	アサルトランス	骑枪突击	A	1	100	0	100	1	0
68	Wild Rush	ワイルドラッシュ	狂野冲杀	A	1	80	0	100	7	0
69	Pile Thrust	パイルスラスト	连续穿刺	A	2	50	0	100	1	1
70	Sting	スティング	钉刺	A	1	100	0	100	1	50
71	Piercing Lance	ピアシングランス	尖利骑枪	A	1	100	0	100	1	0
72	Passive Hold	パッシブホールド	被动禁锢	A	1	100	0	100	1	0
73	Venom Thrust	ヴェノムスラスト	剧毒穿刺	A	2	75	0	100	7	0
74	Diving Thrust	フォールスラスト	俯冲穿刺	A	1	100	0	100	1	0
75	Fire Breath	ファイアブレス	灼热吐息	A	2	75	0	100	6	0
76	Tempest Drive	テンペストドライブ	暴风涤荡	A	2	150	0	100	7	0
77	Dragoon Dive	ドラグーンダイブ	龙骑天降	A	2	100	0	100	5	50
78	Heavy Smash	ヘヴィバスター	重装克星	A	1	100	0	100	1	1
79	Assaulting Blow	アサルトブロウ	突进打击	A	1	100	0	100	1	0
80	Row Smash	ラインバスター	阵线破坏	A	2	100	0	100	6	1
81	Ground Strike	グランドストライク	全域冲击	A	2	150	0	100	1	1
82	High Swing	ハイスイング	空中挥击	A	1	100	0	100	6	0
83	Aerial Smite	エリアルスマイト	天空重击	A	2	150	0	100	6	0
84	Fatal Dive	フェイタルフォール	致命俯冲	A	2	0	0	100	7	0.5
85	Carnage	カーネイジ	屠戮	A	1	100	0	100	1	1
86	Vicious Torment	ディアボネイター	魔崇诡击	A	2	75	0	100	1	75
87	Death Spin	デッドスピニング	死亡螺旋	A	1	75	0	100	6	0
88	Bear Crush	ベアクラッシュ	战熊撞击	A	1	100	0	100	1	0
89	Round Swing	アラウンドスイング	回旋挥击	A	2	25	0	75	6	50
90	Earthshaker	アーススタンプ	大地震击	A	2	75	0	100	5	75
91	Smash	スマッシュ	猛击	A	1	100	0	100	1	0.20000000298023224
92	Rolling Axe	ロールアックス	旋风斧	A	1	40	0	75	6	0.15000000596046448
93	Wide Breaker	ワイドブレイカー	破阵横扫	A	2	100	0	100	6	0.30000001192092896
94	Vengeful Axe	リベンジアックス	复仇之斧	A	1	50	0	100	1	0
95	Venom Axe	ヴェノムアックス	剧毒之斧	A	1	75	0	100	1	0
96	Dark Flame	ダークフレイム	暗黑邪火	A	2	50	50	100	6	0.30000001192092896
97	Desperation	デスペレイト	以牙还牙	A	2	0	0	100	1	0
98	Wide Smash	ワイドスマッシュ	破阵猛击	A	1	150	0	80	6	50
99	Grand Smash	グランドスラム	全域强袭	A	2	100	0	80	5	50
100	Brutal Swing	ブルータルスイング	残忍挥击	A	1	80	0	100	6	80
101	Brutal Drive	ブルータルドライブ	残忍猛击	A	1	50	0	100	5	100
102	Fallen One	フォールン・ワン	天堕	A	2	0	0	100	5	1
103	Dark Armor	ダークアーマー	暗黑护甲	A	1	0	0	100	1	0
104	Extinction	エクスティンクション	大灭绝	A	2	50	0	100	5	0
105	Chaos Unending	終わりなき混沌	无止境的混沌	A	2	0	0	100	5	0
106	Flame Thrust	フレイムスラスト	烈火穿刺	A	1	100	0	100	7	0
107	Deadly Rush	デッドリーラッシュ	致死冲杀	A	1	40	0	100	1	0
108	Primus Edge	プリムスエッジ	卓绝利刃	A	1	50	100	100	1	1
109	Thunderous Thrust	サンダースラスト	雷霆穿刺	A	1	100	100	100	1	0
110	Freezing Thrust	フリーズスラスト	冰冻穿刺	A	1	100	100	100	1	0
111	Elemental Roar	エレメンタルロアー	元素咆哮	A	3	70	70	100	5	30
112	Banishing Stab	バニッシュスタブ	消逝戳刺	A	1	100	0	100	1	0
113	Leaping Slash	リープスラッシュ	飞跃斩击	A	1	100	0	100	1	1
114	Provoking Slash	ヘイトスラッシュ	恨意斩击	A	1	75	0	100	1	0
115	Poison Slash	ポイズンスラッシュ	毒素斩击	A	1	100	0	100	1	0
116	Fire Slash	ファイアスラッシュ	灼热斩击	A	1	100	0	100	1	0
117	Grisly Poison	ゴアポイズン	血污之毒	A	2	150	0	100	1	0
118	Grisly Fire	ゴアファイア	血污之火	A	2	150	0	100	1	0
119	Firestorm	ファイアネイト	灼热逆刃	A	1	100	0	100	1	0
120	Icestorm	アイスネイト	冰霜逆刃	A	1	100	0	100	1	0
121	Sonic Blast	ソニックブーム	音速爆炸	A	1	70	0	100	1	80
122	Double Blast	ダブルソニック	双重音速	A	2	70	0	100	2	80
123	Assassin's Nail	アサシンネイル	暗杀钉刺	A	2	100	0	100	1	0
124	Crush	クラッシュ	撞击	A	1	100	0	100	1	0
125	Spiked Blow	スパイクブロウ	锋锐打击	A	1	50	0	100	1	0
126	Icy Blow	アイスブロウ	冰霜打击	A	1	100	0	100	1	0
127	Icy Crush	アイスクラッシュ	冰霜撞击	A	2	100	0	100	1	0
128	True Thrust	トゥルースラスト	真切穿刺	A	1	80	0	100	7	0
129	Icicle Dart	アイシクルダート	冰锥飞刺	A	2	100	50	100	1	0
130	Shadow Thrust	シェイドスラスト	阴影穿刺	A	1	80	0	100	7	0
131	Lightning Shaker	ライトニングシェイカー	雷霆震荡	A	2	100	100	100	6	0
132	Penetrate	ペネトレート	穿甲	A	2	100	0	100	7	0.30000001192092896
133	Lethal Venom	リーサルヴェノム	致命剧毒	A	3	100	0	75	7	0
134	Rampage	ランペイジ	横冲直撞	A	1	100	0	100	1	1
135	Execution	エクスキューション	处决	A	1	100	0	75	1	0
136	Powerful Impact	マッスルインパクト	肌肉冲撞	A	2	200	0	25	1	0
137	Demolition	デモリッション	拆解	A	2	300	0	100	1	0.5
138	Heavy Smash	ヘヴィスマッシュ	沉重猛击	A	2	100	0	100	6	0
139	Painful Smash	ペインスマッシュ	痛之猛击	A	2	150	0	100	1	0.25
140	Banishing Smite	バニッシュスマイト	消逝重击	A	2	100	0	100	6	0
141	Sanguine Attack	ブラッドウェポン	鲜血兵器	A	1	100	0	100	1	0.5
142	Magick Attack	マジックウェポン	魔法兵器	A	1	0	150	100	1	0
143	Phantom Attack	ファントムウェポン	幻象兵器	A	1	0	120	100	1	1
144	Elfslayer	エルフスレイ	精灵诛杀	A	2	100	0	100	7	1
145	Beastslayer	ビーストスレイ	野兽诛杀	A	2	100	0	100	6	1
146	Strength Shatter	パワーブレイク	力量崩解	A	1	100	0	100	1	0.4000000059604645
147	Strength Shatter II	パワーブレイクⅡ	力量崩解Ⅱ	A	2	150	0	100	1	0.75
148	Armor Shatter	アーマーブレイク	护甲崩解	A	1	100	0	100	1	0.30000001192092896
149	Armor Shatter II	アーマーブレイクⅡ	护甲崩解Ⅱ	A	2	150	0	100	1	0.5
150	Magick Shatter	マジックブレイク	魔法崩解	A	2	75	0	100	6	0.5
151	Active Shatter	アクティブブレイク	主动崩解	A	1	100	0	100	1	1
152	Passive Shatter	パッシブブレイク	被动崩解	A	1	50	0	100	1	1
153	Passive Shatter (Spear)	パッシブブレイク	被动崩解	A	1	50	0	100	7	1
154	Single Shot	シングルショット	单一射击	A	1	100	0	100	1	0
155	Dual Shot	ダブルショット	双重射击	A	1	70	0	100	2	0
156	Row Shot	ラインショット	阵线射击	A	2	100	0	100	6	0
157	Triple Shatter	トリプルブレイク	三重崩解	A	2	50	0	100	3	0.5
158	Arrow Rain	アローレイン	箭雨	A	2	60	0	80	5	0
159	Glacial Rain	グラシアルレイン	冰封箭雨	A	2	60	0	80	5	0
160	Mystic Arrow	ミスティックアロー	神秘之箭	A	1	100	0	100	1	100
161	Sonic Shaft	ソニックシャフト	音速飞矢	A	1	100	0	100	1	1
162	Checkmate	チェックメイト	瓮中捉鳖	A	2	150	0	100	1	0
163	Poison Arrow	ポイズンアロー	毒素之箭	A	1	100	0	100	1	0
164	Flame Arrow	フレイムアロー	烈火之箭	A	1	100	0	100	1	0
165	Shadow Arrow	シェイドアロー	阴影之箭	A	1	100	0	100	1	0
166	Wind Arrow	ウインドアロー	疾风之箭	A	1	75	75	100	1	50
167	Icicle Arrow	アイシクルアロー	冰锥之箭	A	2	75	75	100	2	0
168	Delaying Shot	ディレイショット	迟滞射击	A	1	25	0	100	1	20
169	Saint's Shot	セイントショット	圣洁射击	A	1	80	0	100	1	1
170	Photon Arrow	フォトンアロー	光子箭	A	2	80	0	100	2	0.5
171	Power Bolt	パワーボルト	强力弩箭	A	1	120	0	100	1	0
172	Toxic Bolt	トキシックボルト	淬毒弩箭	A	1	80	0	100	1	0
173	Heavy Bolt	ヘヴィボルト	沉重弩箭	A	2	100	0	100	1	100
174	Harpoon Bolt	ハープーンボルト	鱼叉弩箭	A	2	100	0	100	7	0
175	Spiked Bolt	スパイクボルト	锋锐弩箭	A	2	50	0	100	1	0
176	Fireball	ファイアーボール	火球术	A	1	0	40	100	1	0
177	Icebolt	アイスショット	冰霜射击	A	1	0	100	100	1	0
178	Magick Missile	マジックミサイル	魔法飞弹	A	1	0	70	100	2	0
179	Ice Coffin	アイスコフィン	冰柩	A	2	0	100	100	6	0
180	Aqua Venom	アクアヴェノム	液态剧毒	A	1	0	100	100	6	0
181	Maelstrom	メイルシュトローム	大漩涡	A	2	0	25	100	5	25
182	Thunderous Strike	サンダーストラック	雷霆万钧	A	2	0	100	90	6	0
183	Volcano	ヴォルケーノ	火山喷发	A	2	0	150	90	7	0
184	Holy Light	ホーリーライト	神圣之光	A	1	0	100	100	1	0
185	Innocent Ray	イノセントレイ	无秽射线	A	2	0	150	100	6	0
186	Sanguine Darts	ブラッドダーツ	鲜血镖雨	A	2	0	100	100	7	0.5
187	Skyward Thrust	エアスラスト	气流穿刺	A	2	0	75	100	3	50
188	Earthquake	アースクエイク	地震术	A	3	0	100	100	5	0
189	Blizzard	ブリザード	暴风雪	A	2	0	50	100	5	0
190	Gravity	グラビティ	重力魔法	A	2	0	0	100	5	0.5
191	Trinity Rain	トリニティレイン	三一之雨	A	3	0	100	100	5	0
192	Sanguine Rain	ブラッドレイン	血雨	A	2	0	50	100	5	0.30000001192092896
193	Passive Absorb	パッシブアブソーブ	被动汲取	A	1	0	0	100	1	2
194	Memento Mori	メメント・モリ	终有一死	A	1	0	80	100	5	0
195	Overlord	ユニコルヌス・イラ	独角兽之怒	A	4	0	999	100	5	0
196	Heal	ヒール	疗愈	A	1	0	100	100	1	0
197	Double Heal	ダブルヒール	双重疗愈	A	1	0	60	100	2	0
198	Row Heal	ラインヒール	阵线疗愈	A	1	0	100	100	6	0
199	Sacred Heal	セイクリッドヒール	圣崇疗愈	A	2	0	100	100	6	0
200	Circle Heal	サークルヒール	环形疗愈	A	2	0	150	100	5	0
201	Radiant Heal	レイディアントヒール	绚烂疗愈	A	3	0	150	100	5	1
202	Active Heal	アクトヒール	行进疗愈	A	2	0	100	100	1	1
203	Extra Heal	エクストラヒール	额外疗愈	A	2	0	100	100	1	0.25
204	Overheal	オーバーヒール	过量疗愈	A	1	0	50	100	6	1.5
205	Limited Heal	リミテッドヒール	孤军疗愈	A	2	0	50	100	5	1.5
206	Faerie Heal	フェアリーヒール	精魂疗愈	A	2	0	100	100	6	0
207	Aurora Veil	オーロラヴェール	极光护罩	A	1	0	0	100	6	0.25
208	Phantom Veil	ファントムヴェール	幻象护罩	A	2	0	0	100	6	0
209	Curing Call	キュアエール	治愈呐喊	A	1	0	50	100	6	0
210	Healing Wind	ヒールウインド	疗愈之风	A	2	0	0	100	6	0
211	Honed Healing	ヒールエンハンス	疗愈强化	A	1	0	0	100	6	1
212	Holy Cradle	ホーリークレイドル	神圣摇篮	A	2	0	0	100	6	1
213	Resurrection	リザレクション	妙手回春	A	2	0	0	100	1	0
214	Reincarnation	リンカネーション	轮回转生	A	3	0	0	100	1	0
215	Animated Dead	アニメイトデッド	尸变	A	1	0	100	100	1	1
216	Night Vision	ナイトビジョン	夜观千里	A	1	0	0	100	6	50
217	Glowing Light	グロウライト	黯淡之光	A	1	0	0	100	5	30
218	Offensive Order	オフェンスオーダー	攻击号令	A	1	0	0	100	5	0.20000000298023224
219	Defensive Order	ディフェンスオーダー	防卫号令	A	1	0	0	100	5	0.20000000298023224
220	Passive Curse	パッシブカース	被动诅咒	A	1	0	0	100	6	1
221	Poison Curse	ポイズンカース	毒素诅咒	A	1	0	0	100	6	0
222	Fire Curse	ファイアカース	灼热诅咒	A	1	0	0	100	6	0
223	Offensive Curse	オフェンスカース	攻击诅咒	A	1	0	0	100	6	0.5
224	Defensive Curse	ディフェンスカース	防卫诅咒	A	1	0	0	100	6	0.5
225	Compounding Curse	カースハザード	诅咒危机	A	1	0	0	100	6	1.5
226	Dispel All	オールディスペル	全体驱散	A	2	0	0	100	5	0
227	Sandstorm	サンドストーム	沙尘暴	A	3	0	0	100	5	0
228	Sorcerous Blow	ソーサリーブロウ	巫术打击	A	2	150	150	100	1	0
229	Cursed Strike	カースストライク	诅咒冲击	A	2	100	0	100	1	0.5
230	Holy Smite	ホーリースマイト	神圣重击	A	2	0	200	100	1	0
231	Wall	ウォール	壁垒	A	1	0	0	100	1	0
232	Bulwark	グレートウォール	铜墙铁壁	A	2	0	0	100	6	0
233	Magick Wall	マジックウォール	魔法壁垒	A	1	0	0	100	1	0
234	Row Protection	ラインプロテクト	阵线防护	A	1	0	0	100	6	0.5
235	Row Resistance	ラインレジスト	阵线抵抗	A	1	0	0	100	6	0
236	Greatshield	グレートシールド	伟大护盾	A	1	0	0	100	1	0.5
237	Mystic Shield	ミスティックシールド	神秘护盾	A	1	0	0	100	1	0.5
238	Dark Mist	ダークミスト	暗黑薄雾	A	1	0	0	100	1	50
239	Mounting Charge	マッシブチャージ	厚积薄发	A	1	0	0	100	1	0.30000001192092896
240	Nature's Wrath	グレムリングレイブ	灵魄薙刀	A	1	0	100	100	7	1
241	Sylphic Wind	シルフィードウインド	风灵吹掠	A	2	0	40	100	6	20
242	Mystic Conferral	ミスティックセイバー	神秘剑刃	A	1	0	0	100	1	50
243	Omega Shatter	オメガブレイク	终极崩解	A	2	100	0	100	1	0
244	Wyrmcleave	竜断	龙断	A	1	100	0	100	1	0
245	Blitz Rush	牙突迅雷	牙突迅雷	A	2	100	0	100	7	1
246	Heavens Asunder	天獄殺	天狱杀	A	2	20	0	100	5	30
247	Honed Shield	シールドエンハンス	盾装强化	P	1	0	0	100	1	1
248	Bunker Stance	バンカースタンス	铁壁架势	P	1	0	0	100	1	30
249	Impetus Stance	アクトスタンス	行进架势	P	1	0	0	100	1	1
250	War Cry	ウォークライ	战吼	P	1	0	0	100	1	0.20000000298023224
251	Magick Shell	マジックシェル	魔法外壳	P	1	0	0	100	1	0
252	Dark Armor	ダークアーマー	暗黑护甲	P	1	0	0	100	1	0
253	Darkness Armor	ダークネスアーマー	暗黑护甲	P	1	0	0	100	1	0
254	Hastened Charge	ファストチャージ	快速蓄力	P	4	0	0	100	1	0
255	Quick Action	クイックムーブ	迅速前行	P	1	0	0	100	1	15
256	Hastened Action	ファストムーブ	快速前行	P	3	0	0	100	1	999
257	Quick Cast	クイックキャスト	迅速出场	P	2	0	0	100	1	999
258	Hastened Cast	ファストキャスト	快速出击	P	3	0	0	100	1	999
259	Rapid Order	ラピッドオーダー	极速号令	P	1	0	0	100	5	20
260	Dawn Horn	ドーンホルン	黎明号角	P	2	0	0	100	5	0
261	War Horn	バトルホルン	战斗号角	P	2	0	0	100	5	0
262	Provoke	アトラクト	吸引注意	P	1	0	0	100	6	0
263	Provoking Wall	アトラクトウォール	吸引之墙	P	2	0	0	100	5	0
264	Scornful Dead	デッドブーイング	死之鄙斥	P	1	0	0	100	5	0
265	Dragon's Roar	ドラゴンロアー	龙之咆哮	P	2	0	0	100	5	20
266	Hastened Curse	ファストカース	快速诅咒	P	1	0	0	100	1	30
267	Cursed Swamp	カースドスワンプ	诅咒沼地	P	2	0	0	100	5	10
268	Eye of the Warrior Princess	隻眼の戦姫	独眼战姬	P	1	0	0	100	5	0.20000000298023224
269	Ominous Wall	オミノスウォール	不祥壁垒	P	1	0	0	100	5	0
270	Animated Dead	アニメイトデッド	尸变	P	1	0	70	100	6	0
271	Heavy Alignment	ヘヴィアライン	重装战阵	P	1	0	0	100	6	0.20000000298023224
272	Aerial Alignment	フェザーアライン	翔羽战阵	P	1	0	0	100	6	0.20000000298023224
273	United Front	リミットフォース	以一当十	P	1	0	0	100	5	30
274	Wolf Pack	ウルフパック	狼之护佑	P	2	0	0	100	5	0.20000000298023224
275	Bear's Den	ベアキャッスル	战熊堡垒	P	2	0	0	100	5	0.20000000298023224
276	Iron Veil	アイアンヴェール	钢铁护罩	P	1	0	0	100	5	0.5
277	Pure Field	ピュアフィールド	纯净领域	P	1	0	0	100	5	0
278	Reheal	リヒール	回春术	P	1	0	0	100	6	0.25
279	Divine Blessing	大いなる加護	磅礴加护	P	1	0	0	100	5	0.25
280	Hastened Heal	ファストヒール	快速疗愈	P	1	0	50	100	5	0.25
281	Boon of the Faeries	精霊の加護	精魂加护	P	1	0	100	100	6	0
282	Hastened Strike	ファストストライク	快速袭击	P	1	150	0	100	1	0
283	Artenie Strike	アーテニーストライク	灵动袭击	P	1	100	0	100	1	2
284	Nocturnal Strike	ナイトストライク	夜幕袭击	P	1	150	0	100	1	1
285	Sneaking Edge	スニークエッジ	奇袭之刃	P	1	50	0	100	1	0
286	Rapid Shot	ラピッドショット	极速射击	P	1	100	0	100	1	0
287	Hastened Shatter	ファストブレイク	快速破坏	P	2	150	0	100	1	0.5
288	Provoking Strike	ヘイトストライク	恨意袭击	P	1	50	0	100	1	0
289	Rage of the Faeries	精霊の怒り	精魂之怒	P	1	0	100	100	6	0
290	Ground Punisher	グランドパニッシャー	全域惩戒	P	1	50	0	100	5	1
291	Parting Blow	エンドブロウ	斩草除根	P	1	75	0	100	1	0
292	Fire Burst	ファイアバースト	灼热爆炸	P	1	0	100	100	1	0
293	Poison Burst	ポイズンバースト	毒素爆炸	P	1	0	100	100	1	0
294	Life Blow	ライフブロウ	倾身一击	P	1	0	0	100	1	0.800000011920929
295	Parting Death	デッドエンド	死亡终焉	P	1	100	0	100	1	0
296	Judgment	ジャッジメント	裁决	P	1	100	0	100	5	0.5
297	First Aid	ファーストエイド	紧急救治	P	1	0	0	100	1	0.25
298	Medical Aid	メディカルエイド	医疗救治	P	1	0	0	100	6	0.15000000596046448
299	Party Aid	パーティーエイド	群体救治	P	2	0	0	100	5	0.25
300	Wing Rest	ウイングレスト	潜翼委翅	P	1	0	0	100	1	0.25
301	Parting Resurrection	エンドリザレクト	复活	P	1	0	0	100	1	0
302	Charged Impetus	チャージアクト	蓄力行进	P	2	0	0	100	1	1
303	Bull Force	ブルフォース	公牛之力	P	2	0	0	100	1	1
304	Daemonic Pact	デモントレード	恶魔交易	P	1	0	0	100	1	0.25
305	Elemental Impetus	エレメンタルアクト	元素行进	P	2	0	0	100	1	1
306	Diurnal Impetus	ダイアーナルアクト	昼日行进	P	2	0	0	100	1	0.20000000298023224
307	Nocturnal Impetus	ノクターナルアクト	暗夜行进	P	2	0	0	100	1	0.20000000298023224
308	Grave Impetus	グレイブアクト	安葬行进	P	1	0	0	100	1	1
309	Blade Dance	ブレイドダンス	刃舞	P	1	0	0	100	1	0.20000000298023224
310	Tailwind	フォローウインド	踏风而行	P	1	0	0	100	6	10
311	Quick Reload	クイックリロード	迅速装填	P	1	50	0	100	1	0
312	Nocturnal Rest	ナイトレスト	乘夜休憩	P	1	0	0	100	1	0.30000001192092896
313	Concentrate	コンセントレート	全神贯注	P	2	0	0	100	1	1
314	Recast	リスペル	重复咏唱	P	4	0	0	100	1	0
315	Bestral Howl	ビーストハウリング	野兽狂吼	P	1	0	0	100	6	0.15000000596046448
316	Cavalier Call	キャバリエール	骑兵呐喊	P	1	0	0	100	6	0.20000000298023224
317	Feathering	フェザリング	翔羽护佑	P	1	0	0	100	6	15
318	Undying Will	不屈の精神	不屈不挠	P	1	0	0	100	1	100
319	Eagle Eye	イーグルアイ	鹰眼	P	1	0	0	100	1	0
320	Hawk Eye	ホークアイ	隼眼	P	2	0	0	100	1	0
321	Inner Balance	練気	炼气	P	1	0	0	100	1	0
322	Aerial Wing	エリアルウイング	天空振翅	P	1	0	0	100	1	0
323	Discharge	ディスチャージ	迸发	P	1	0	0	100	1	0.25
324	Binding Guard	ガードバインド	封锁格挡	P	1	0	0	100	1	0
325	Sanguine Arts	ブラッドアーツ	鲜血绝技	P	1	0	0	100	1	0.5
326	Passive Gift	パッシブギフト	被动馈赠	P	2	0	0	100	1	1
327	Restore	レストア	重振士气	P	1	0	0	100	1	1
328	Active Gift	アクティブギフト	主动馈赠	P	2	0	0	100	1	1
329	Quick Impetus	クイックアクト	迅速行进	P	4	0	0	100	1	0
330	Bulk Up	パンプアップ	肌肉膨胀	P	1	0	0	100	1	0.4000000059604645
331	Berserk	バーサーク	狂暴无道	P	1	0	0	100	1	0
332	Accelerate	アクセラレート	风驰电掣	P	1	0	0	100	1	20
333	Counter	カウンター	反击	P	1	150	0	100	1	0
334	Ground Counter	グランドカウンター	全域反击	P	1	50	0	100	1	100
335	Heavy Counter	ヘヴィカウンター	重装反击	P	1	150	0	100	1	1
336	Following Slash	フォロースラッシュ	追踪斩击	P	1	75	0	90	1	1
337	Aerial Snipe	エリアルスナイプ	天空狙击	P	1	50	0	100	1	100
338	Frenzied Strike	フレンジー	狂热	P	1	50	0	100	1	0.15000000596046448
339	Vanitas	ヴァニタス	虚寂	P	1	0	50	100	1	0
340	Enrage	アウトレイジ	怒不可遏	P	1	0	0	100	1	0.20000000298023224
341	Maiden's Hammer	乙女の鉄槌	少女的铁锤	P	1	150	0	100	1	100
342	Magick Counter	カウンターマジック	反击魔法	P	1	0	150	100	1	0
343	Banishing Counter	バニッシュカウンター	消逝反击	P	1	150	0	100	1	0
344	Phantom Counter	ファントムエッジ	幻象之刃	P	1	100	0	100	1	0
345	Wide Counter	ワイドカウンター	破阵反击	P	1	100	0	75	6	0
346	Triple Counter	トリプルカウンター	三重反击	P	1	100	0	100	3	0
347	Vanquish	ヴァンキッシュダウン	落井下石	P	1	100	0	100	6	2
348	Magick Burst	マジックバースト	魔法爆炸	P	3	0	100	100	5	10
349	Phantom Kick	幻影脚	幻影踢	P	1	50	0	100	6	0
350	Poison Touch	ポイズンタッチ	毒素之触	P	1	0	0	100	1	0
351	Venom Touch	ヴェノムタッチ	剧毒之触	P	1	0	0	100	6	0
352	Phalanx Shift	ファランクスシフト	方阵御敌	P	1	0	0	100	6	0.20000000298023224
353	Aerial Shift	エリアルシフト	对空御敌	P	1	0	0	100	6	0.20000000298023224
354	Self-Care	セルフケア	自我护理	P	1	0	0	100	1	0
355	Quick Heal	クイックヒール	迅速疗愈	P	1	0	50	100	1	0
356	Curing Heal	キュアヒール	治愈疗愈	P	1	0	50	100	1	0
357	Relic Heal	レリックヒール	余韵疗愈	P	2	0	100	100	1	0.25
358	Selfless Heal	シェアヒール	无私疗愈	P	1	0	50	100	5	0
359	Passive Miracle	パッシブサプライ	被动供给	P	1	0	50	100	1	1
360	Lifeshare	ライフディバイド	生命分流	P	1	0	0	100	1	0.5
361	Poison Cure	キュアポイズン	治愈毒素	P	1	0	0	100	1	0
362	Fire Cure	キュアファイア	治愈灼热	P	1	0	0	100	1	0
363	Freeze Cure	キュアフリーズ	治愈冰冻	P	1	0	0	100	1	0
364	Stun Cure	キュアスタン	治愈晕眩	P	1	0	0	100	1	0
365	Blind Cure	キュアシェイド	治愈阴影	P	1	0	0	100	1	0
366	Guard Cure	キュアガード	治愈格挡	P	1	0	0	100	1	0
367	Passive Cure	キュアパッシブ	治愈被动	P	1	0	0	100	1	0
368	Refresh	リフレッシュ	净化术	P	1	0	0	100	6	0
369	Quick Cure	クイックキュア	迅速治愈	P	1	0	0	100	1	0
370	Sacred Cure	セイクリッドキュア	圣崇治愈	P	1	0	0	100	6	0
371	Quick Dispel	クイックディスペル	迅速驱散	P	1	0	0	100	1	0
372	Abyssal Miasma	幽世の瘴気	幽世瘴气	P	1	0	0	100	1	0
373	Remove Weakness	ウィークリムーブ	衰弱移除	P	1	0	0	100	1	0
374	Cursed Impetus	カースアクト	诅咒行进	P	1	0	0	100	1	1
375	Mirror Weakness	ウィークスペキュラー	衰弱转嫁	P	1	0	0	100	1	0
376	Pursuit	チェイス	追击	P	1	75	0	100	1	0
377	Magick Pursuit	チェイスマジック	追击魔法	P	1	0	100	100	1	0
378	Knight's Pursuit	ナイツチェイス	骑士追击	P	1	50	0	100	7	0
379	Aerial Pursuit	チェイスウイング	追击羽翼	P	1	100	0	100	1	0
380	Banishing Pursuit	バニッシュチェイス	消逝追击	P	1	75	0	100	1	0
381	Wide Pursuit	ワイドチェイス	破阵追击	P	2	75	0	100	6	0
