# ID	名称（英文，缺失时回退日文）	名称（日文）	名称（简体中文，来源：v1.0.5 中文资源）
0		なし	无
79		アラミス	亚拉米斯
80		ハーゲン	哈根
81		ゼノイラ兵	泽诺伊拉士兵
82		マゼラン	麦哲伦
83		ジェレミー	杰瑞米
84		ヒルダ	希尔达
85		ギルベルト	吉尔贝特
86		ギルベルト	吉尔贝特
87		アーマリア	阿玛利亚
88		ヘルマン	赫尔曼
89		ヘルマン	赫尔曼
90		ヘルマン	赫尔曼
91		エルマ	艾玛
92		エルマ	艾玛
93		エルマ	艾玛
94		ロータル	洛塔尔
95		ロータル	洛塔尔
96		ロータル	洛塔尔
97		クラーラ	克拉拉
98		リオニー	利奥妮
99		ファビアン	法比安
100		ベレンガリア	贝伦加丽娅
101		ドラケンガルド兵	德拉肯加德士兵
102		ゼノイラ兵	泽诺伊拉士兵
103		薔薇騎士団員	蔷薇骑士团成员
104		薔薇騎士団員	蔷薇骑士团成员
105		薔薇騎士団員	蔷薇骑士团成员
106		ギース配下	吉斯的部下
107		ギース配下	吉斯的部下
108		グロスタ	格洛斯特
109		リーザ	里瑟
110		砂蠍盗賊団員	沙蝎盗贼团成员
111		砂蠍盗賊団員	沙蝎盗贼团成员
112		砂蠍盗賊団員	沙蝎盗贼团成员
113		ゼノイラ兵	泽诺伊拉士兵
114		副官	副官
115		ロザリンデ	罗莎琳德
116		リナラゴス	里纳拉格斯
117		ファビオ	法比奥
118		エルヘイム兵	艾尔海姆士兵
119		エルヘイム兵	艾尔海姆士兵
120		エルヘイム兵	艾尔海姆士兵
121		イシリオン	伊西利昂
122		ギルソニエル	吉尔松涅尔
123		カランディア	卡岚第亚
124		ケレディン	凯瑞丁
125		エルヘイム兵	艾尔海姆士兵
126		エルヘイム兵	艾尔海姆士兵
127		ゼノイラ兵	泽诺伊拉士兵
128		ゼノイラ兵	泽诺伊拉士兵
129		セレスト	塞蕾丝特
130		ギャメル	贾美尔
131		マンドラン	芒德兰
132		黒爪盗賊団員	黑爪盗贼团成员
133		エルトリンデ	艾尔特琳德
134		アルチーナ	阿尔奇娜
135		アルチーナ	阿尔奇娜
136		ヤーナ	雅娜
137		ヤーナ	雅娜
138		ゼノイラ兵	泽诺伊拉士兵
139		エルヘイム兵	艾尔海姆士兵
140		ゼノイラ兵	泽诺伊拉士兵
141		ゼノイラ兵	泽诺伊拉士兵
142		ガラドミア	加拉德米娅
143		ララノア	拉拉诺雅
144		リディエル	莉迪尔
145		ユニフィ	优妮菲
146		モラード	莫拉德
147		狼獣人	狼兽人
148		ダイナ	迪娜
149		ルイ	路伊
150		白花隊員	白花队队员
151		白花隊員	白花队队员
152		ゼノイラ兵	泽诺伊拉士兵
153		ラモーナ	拉莫娜
154		ゼノイラ兵	泽诺伊拉士兵
155		獅子獣人	狮兽人
156		ゴービル	高比尔
157		ベルトラン	伯特兰
158		ゼノイラ兵	泽诺伊拉士兵
159		傭兵	佣兵
160		傭兵	佣兵
161		ゼノイラ兵	泽诺伊拉士兵
162		ゼノイラ兵	泽诺伊拉士兵
163		レーニス	莱妮丝
164		ウメルス	乌梅鲁丝
165		アルビオン兵	阿尔比昂士兵
166		アルビオン兵	阿尔比昂士兵
167		ナイジェル	奈杰尔
168		サナティオ	萨纳提奥
169		ジェローム	杰洛姆
170		ロッティ	洛蒂
171		フォドキア	弗德西亚
172		ルノー	鲁诺
173		ローラン	罗兰
174		モリス	莫里斯
175		ニコラ	尼古拉
176		イレニア	伊蕾妮雅
177		ホドリック	霍德里克
178		ルノー	鲁诺
179		ゲイリー	加里
180		アルチーナ	阿尔奇娜
181		ゼノイラ兵	泽诺伊拉士兵
182		ゼノイラ兵	泽诺伊拉士兵
183		ゼノイラ兵	泽诺伊拉士兵
184		バストリアス兵	巴斯特利亚斯士兵
185		バストリアス兵	巴斯特利亚斯士兵
186		バストリアス兵	巴斯特利亚斯士兵
187		バストリアス兵	巴斯特利亚斯士兵
188		ペトロ	佩特罗
189		パウロ	帕乌洛
190		ヘレン	海伦
191		ボーモン	博蒙
192		イレニア	伊蕾妮雅
193		ゲイリー	加里
194		アルチーナ	阿尔奇娜
195		エルゴール	埃尔戈
196		ミレー	米蕾
197		ホードル	霍德尔
198		アレイン	亚连
199		コルニア兵	科尔尼亚士兵
200		コルニア兵	科尔尼亚士兵
201		コルニア兵	科尔尼亚士兵
202		コルニア兵	科尔尼亚士兵
203		コルニア兵	科尔尼亚士兵
204		コルニア兵	科尔尼亚士兵
205		コルニア兵	科尔尼亚士兵
206		コルニア兵	科尔尼亚士兵
207		コルニア兵	科尔尼亚士兵
208		コルニア兵	科尔尼亚士兵
209		コルニア兵	科尔尼亚士兵
210		コルニア兵	科尔尼亚士兵
211		コルニア兵	科尔尼亚士兵
212		コルニア兵	科尔尼亚士兵
213		コルニア兵	科尔尼亚士兵
214		コルニア兵	科尔尼亚士兵
215		コルニア兵	科尔尼亚士兵
216		コルニア兵	科尔尼亚士兵
217		コルニア兵	科尔尼亚士兵
218		コルニア兵	科尔尼亚士兵
219		コルニア兵	科尔尼亚士兵
220		コルニア兵	科尔尼亚士兵
221		コルニア兵	科尔尼亚士兵
222		コルニア兵	科尔尼亚士兵
223		コルニア兵	科尔尼亚士兵
224		コルニア兵	科尔尼亚士兵
225		コルニア兵	科尔尼亚士兵
226		コルニア兵	科尔尼亚士兵
227		コルニア兵	科尔尼亚士兵
228		コルニア兵	科尔尼亚士兵
229		コルニア兵	科尔尼亚士兵
230		野盗	山贼
231		野盗	山贼
232		野盗	山贼
233		ドラケンガルド兵	德拉肯加德士兵
234		ドラケンガルド兵	德拉肯加德士兵
235		ドラケンガルド兵	德拉肯加德士兵
236		ドラケンガルド兵	德拉肯加德士兵
237		ドラケンガルド兵	德拉肯加德士兵
238		ドラケンガルド兵	德拉肯加德士兵
239		ドラケンガルド兵	德拉肯加德士兵
240		ドラケンガルド兵	德拉肯加德士兵
241		ドラケンガルド兵	德拉肯加德士兵
242		ドラケンガルド兵	德拉肯加德士兵
243		ドラケンガルド兵	德拉肯加德士兵
244		ドラケンガルド兵	德拉肯加德士兵
245		ドラケンガルド兵	德拉肯加德士兵
246		ドラケンガルド兵	德拉肯加德士兵
247		ドラケンガルド兵	德拉肯加德士兵
248		ドラケンガルド兵	德拉肯加德士兵
249		ドラケンガルド兵	德拉肯加德士兵
250		ドラケンガルド兵	德拉肯加德士兵
251		ドラケンガルド兵	德拉肯加德士兵
252		ドラケンガルド兵	德拉肯加德士兵
253		ドラケンガルド兵	德拉肯加德士兵
254		ドラケンガルド兵	德拉肯加德士兵
255		エルヘイム兵	艾尔海姆士兵
256		エルヘイム兵	艾尔海姆士兵
257		エルヘイム兵	艾尔海姆士兵
258		エルヘイム兵	艾尔海姆士兵
259		エルヘイム兵	艾尔海姆士兵
260		エルヘイム兵	艾尔海姆士兵
261		エルヘイム兵	艾尔海姆士兵
262		エルヘイム兵	艾尔海姆士兵
263		エルヘイム兵	艾尔海姆士兵
264		エルヘイム兵	艾尔海姆士兵
265		エルヘイム兵	艾尔海姆士兵
266		エルヘイム兵	艾尔海姆士兵
267		エルヘイム兵	艾尔海姆士兵
268		エルヘイム兵	艾尔海姆士兵
269		エルヘイム兵	艾尔海姆士兵
270		エルヘイム兵	艾尔海姆士兵
271		エルヘイム兵	艾尔海姆士兵
272		エルヘイム兵	艾尔海姆士兵
273		エルヘイム兵	艾尔海姆士兵
274		エルヘイム兵	艾尔海姆士兵
275		エルヘイム兵	艾尔海姆士兵
276		エルヘイム兵	艾尔海姆士兵
277		エルヘイム兵	艾尔海姆士兵
278		エルヘイム兵	艾尔海姆士兵
279		エルヘイム兵	艾尔海姆士兵
280		エルヘイム兵	艾尔海姆士兵
281		エルヘイム兵	艾尔海姆士兵
282		エルヘイム兵	艾尔海姆士兵
283		エルヘイム兵	艾尔海姆士兵
284		エルヘイム兵	艾尔海姆士兵
285		バストリアス兵	巴斯特利亚斯士兵
286		バストリアス兵	巴斯特利亚斯士兵
287		バストリアス兵	巴斯特利亚斯士兵
288		バストリアス兵	巴斯特利亚斯士兵
289		アルビオン兵	阿尔比昂士兵
290		アルビオン兵	阿尔比昂士兵
291		アルビオン兵	阿尔比昂士兵
292		アルビオン兵	阿尔比昂士兵
293		アルビオン兵	阿尔比昂士兵
294		アルビオン兵	阿尔比昂士兵
295		アルビオン兵	阿尔比昂士兵
296		アルビオン兵	阿尔比昂士兵
297		アルビオン兵	阿尔比昂士兵
298		アルビオン兵	阿尔比昂士兵
299		アルビオン兵	阿尔比昂士兵
300		アルビオン兵	阿尔比昂士兵
301		アルビオン兵	阿尔比昂士兵
302		アルビオン兵	阿尔比昂士兵
303		アルビオン兵	阿尔比昂士兵
304		アルビオン兵	阿尔比昂士兵
305		傭兵	佣兵
306		兵士	士兵
307		兵士	士兵
308		傭兵	佣兵
309		騎士	骑士
310		弓兵	弓兵
311		弩兵	弩兵
312		傭兵	佣兵
313		傭兵	佣兵
314		傭兵	佣兵
315		傭兵	佣兵
316		傭兵	佣兵
317		剣士	剑士
318		剣士	剑士
319		僧侶	僧侣
320		魔女	魔女
321		魔術師	魔法师
322		騎士	骑士
323		騎士	骑士
324		騎士	骑士
325		鷹獅子兵	狮鹫兵
326		竜騎兵	龙骑兵
327		ダークエルフ剣士	暗精灵剑士
328		ダークエルフ剣士	暗精灵剑士
329		エルフ弓兵	精灵弓兵
330		エルフ弓兵	精灵弓兵
331		熊獣人	熊兽人
332		狼獣人	狼兽人
333		狐獣人	狐兽人
334		梟獣人	枭兽人
335		有翼人	翼人
336		有翼人	翼人
337		有翼人	翼人
338		有翼人	翼人
339		解放軍傭兵	义军佣兵
340		解放軍兵士	义军士兵
341		解放軍兵士	义军士兵
342		解放軍傭兵	义军佣兵
343		解放軍傭兵	义军佣兵
344		解放軍傭兵	义军佣兵
345		解放軍騎士	义军骑士
346		解放軍弓兵	义军弓兵
347		解放軍弩兵	义军弩兵
348		解放軍傭兵	义军佣兵
349		解放軍傭兵	义军佣兵
350		解放軍傭兵	义军佣兵
351		解放軍傭兵	义军佣兵
352		解放軍傭兵	义军佣兵
353		解放軍傭兵	义军佣兵
354		解放軍傭兵	义军佣兵
355		解放軍剣士	义军剑士
356		解放軍剣士	义军剑士
357		解放軍僧侶	义军僧侣
358		解放軍僧侶	义军僧侣
359		解放軍魔女	义军魔女
360		解放軍魔術師	义军魔法师
361		解放軍魔女	义军魔女
362		解放軍騎士	义军骑士
363		解放軍騎士	义军骑士
364		解放軍騎士	义军骑士
365		解放軍鷹獅子兵	义军狮鹫兵
366		解放軍竜騎兵	义军龙骑兵
367		解放軍剣士	义军剑士
368		解放軍剣士	义军剑士
369		解放軍弓兵	义军弓兵
370		解放軍弓兵	义军弓兵
371		解放軍兵士	义军士兵
372		解放軍兵士	义军士兵
373		解放軍兵士	义军士兵
374		解放軍兵士	义军士兵
375		解放軍騎士	义军骑士
376		解放軍弓兵	义军弓兵
377		解放軍僧侶	义军僧侣
378		解放軍騎士	义军骑士
379		解放軍騎士	义军骑士
380		解放軍騎士	义军骑士
381		ゼノイラ兵	泽诺伊拉士兵
382		ゼノイラ兵	泽诺伊拉士兵
383		ゼノイラ兵	泽诺伊拉士兵
384		ゼノイラ兵	泽诺伊拉士兵
385		ゼノイラ兵	泽诺伊拉士兵
386		ゼノイラ兵	泽诺伊拉士兵
387		ゼノイラ兵	泽诺伊拉士兵
388		ゼノイラ兵	泽诺伊拉士兵
389		ゼノイラ兵	泽诺伊拉士兵
390		ゼノイラ兵	泽诺伊拉士兵
391		ゼノイラ兵	泽诺伊拉士兵
392		ゼノイラ兵	泽诺伊拉士兵
393		ゼノイラ兵	泽诺伊拉士兵
394		ゼノイラ兵	泽诺伊拉士兵
395		ゼノイラ兵	泽诺伊拉士兵
396		ゼノイラ兵	泽诺伊拉士兵
397		ゼノイラ兵	泽诺伊拉士兵
398		ゼノイラ兵	泽诺伊拉士兵
399		ゼノイラ兵	泽诺伊拉士兵
400		ゼノイラ兵	泽诺伊拉士兵
401		ゼノイラ兵	泽诺伊拉士兵
402		ゼノイラ兵	泽诺伊拉士兵
403		ゼノイラ兵	泽诺伊拉士兵
404		ゼノイラ兵	泽诺伊拉士兵
405		ゼノイラ兵	泽诺伊拉士兵
406		ゼノイラ兵	泽诺伊拉士兵
407		ゼノイラ兵	泽诺伊拉士兵
408		ゼノイラ兵	泽诺伊拉士兵
409		ゼノイラ兵	泽诺伊拉士兵
410		ゼノイラ兵	泽诺伊拉士兵
411		ゼノイラ兵	泽诺伊拉士兵
412		ゼノイラ兵	泽诺伊拉士兵
413		ゼノイラ兵	泽诺伊拉士兵
414		ゼノイラ兵	泽诺伊拉士兵
415		ゼノイラ兵	泽诺伊拉士兵
416		ゼノイラ兵	泽诺伊拉士兵
417		ゼノイラ兵	泽诺伊拉士兵
418		ゼノイラ兵	泽诺伊拉士兵
419		ゼノイラ兵	泽诺伊拉士兵
420		ゼノイラ兵	泽诺伊拉士兵
421		ゼノイラ兵	泽诺伊拉士兵
422		ゼノイラ兵	泽诺伊拉士兵
423		ゼノイラ兵	泽诺伊拉士兵
424		ゼノイラ兵	泽诺伊拉士兵
425		ゼノイラ兵	泽诺伊拉士兵
426		ゼノイラ兵	泽诺伊拉士兵
427		ゼノイラ兵	泽诺伊拉士兵
428		ゼノイラ兵	泽诺伊拉士兵
429		ゼノイラ兵	泽诺伊拉士兵
430		ゼノイラ兵	泽诺伊拉士兵
431		ゼノイラ兵	泽诺伊拉士兵
432		ゼノイラ兵	泽诺伊拉士兵
433		ゼノイラ兵	泽诺伊拉士兵
434		ゼノイラ兵	泽诺伊拉士兵
435		ゼノイラ兵	泽诺伊拉士兵
436		ゼノイラ兵	泽诺伊拉士兵
437		ゼノイラ兵	泽诺伊拉士兵
438		ゼノイラ兵	泽诺伊拉士兵
439		ゼノイラ兵	泽诺伊拉士兵
440		ゼノイラ兵	泽诺伊拉士兵
441		ゼノイラ兵	泽诺伊拉士兵
442		ゼノイラ兵	泽诺伊拉士兵
443		ゼノイラ兵	泽诺伊拉士兵
444		ゼノイラ兵	泽诺伊拉士兵
445		ゼノイラ兵	泽诺伊拉士兵
446		傭兵	佣兵
447		傭兵	佣兵
448		傭兵	佣兵
449		傭兵	佣兵
450		傭兵	佣兵
451		傭兵	佣兵
452		傭兵	佣兵
453		傭兵	佣兵
454		傭兵	佣兵
455		傭兵	佣兵
456		傭兵	佣兵
457		傭兵	佣兵
458		傭兵	佣兵
459		傭兵	佣兵
460		傭兵	佣兵
461		傭兵	佣兵
462		傭兵	佣兵
463		傭兵	佣兵
464		傭兵	佣兵
465		傭兵	佣兵
466		傭兵	佣兵
467		傭兵	佣兵
468		傭兵	佣兵
469		傭兵	佣兵
470		傭兵	佣兵
471		傭兵	佣兵
472		傭兵	佣兵
473		傭兵	佣兵
474		傭兵	佣兵
475		傭兵	佣兵
476		傭兵	佣兵
477		傭兵	佣兵
478		傭兵	佣兵
479		傭兵	佣兵
480		傭兵	佣兵
481		傭兵	佣兵
482		傭兵	佣兵
483		傭兵	佣兵
484		傭兵	佣兵
485		傭兵	佣兵
486		傭兵	佣兵
487		傭兵	佣兵
488		傭兵	佣兵
489		傭兵	佣兵
490		傭兵	佣兵
491		傭兵	佣兵
492		傭兵	佣兵
493		傭兵	佣兵
494		傭兵	佣兵
495		傭兵	佣兵
496		傭兵	佣兵
497		傭兵	佣兵
498		傭兵	佣兵
499		傭兵	佣兵
500		デバッグ用熱血♂２	debug用热血♂２
501		デバッグ用熱血♂２	debug用热血♂２
502		デバッグ用熱血♂１	debug用热血♂１
503		デバッグ用熱血♀１	debug用热血♀１
504		デバッグ用熱血♂１	debug用热血♂１
505		デバッグ用熱血♀１	debug用热血♀１
506		デバッグ用粗野♂３	debug用狂野♂３
507		デバッグ用粗野♂３	debug用狂野♂３
508		デバッグ用誠実♂２	debug用真诚♂２
509		デバッグ用誠実♂２	debug用真诚♂２
510		デバッグ用粗野♀１	debug用狂野♀１
511		デバッグ用粗野♀１	debug用狂野♀１
512		デバッグ用無気力♂１	debug用懒散♂１
513		デバッグ用無気力♂１	debug用懒散♂１
514		デバッグ用誠実♀１	debug用真诚♀１
515		デバッグ用誠実♀１	debug用真诚♀１
516		デバッグ用誠実♂２	debug用真诚♂２
517		デバッグ用誠実♂２	debug用真诚♂２
518		デバッグ用熱血♀２	debug用热血♀２
519		デバッグ用熱血♀２	debug用热血♀２
520		デバッグ用無気力♀３	debug用懒散♀３
521		デバッグ用無気力♀３	debug用懒散♀３
522		デバッグ用誠実♂３	debug用真诚♂３
523		デバッグ用誠実♂３	debug用真诚♂３
524		デバッグ用熱血♂３	debug用热血♂３
525		デバッグ用熱血♂３	debug用热血♂３
526		デバッグ用冷静♂３	debug用冷静♂３
527		デバッグ用冷静♀３	debug用冷静♀３
528		デバッグ用冷静♂３	debug用冷静♂３
529		デバッグ用冷静♀３	debug用冷静♀３
530		デバッグ用冷静♂２	debug用冷静♂２
531		デバッグ用冷静♀１	debug用冷静♀１
532		デバッグ用冷静♂２	debug用冷静♂２
533		デバッグ用冷静♀１	debug用冷静♀１
534		デバッグ用熱血♂３	debug用热血♂３
535		デバッグ用熱血♂１	debug用热血♂１
536		デバッグ用熱血♂３	debug用热血♂３
537		デバッグ用熱血♂１	debug用热血♂１
538		デバッグ用高潔♂２	debug用清高♂２
539		デバッグ用高潔♂２	debug用清高♂２
540		デバッグ用高潔♀２	debug用清高♀２
541		デバッグ用高潔♀２	debug用清高♀２
542		デバッグ用熱血♂２	debug用热血♂２
543		デバッグ用熱血♂２	debug用热血♂２
544		デバッグ用無気力♂１	debug用懒散♂１
545		デバッグ用無気力♂１	debug用懒散♂１
546		デバッグ用粗野♀３	debug用狂野♀３
547		デバッグ用粗野♀３	debug用狂野♀３
548		デバッグ用粗野♂２	debug用狂野♂２
549		デバッグ用粗野♀２	debug用狂野♀２
550		デバッグ用誠実♂２	debug用真诚♂２
551		デバッグ用誠実♀２	debug用真诚♀２
552		デバッグ用熱血♂２	debug用热血♂２
553		デバッグ用熱血♀２	debug用热血♀２
554		デバッグ用無気力♂３	debug用懒散♂３
555		デバッグ用誠実♀３	debug用真诚♀３
556		デバッグ用誠実♀１	debug用真诚♀１
557		デバッグ用冷静♀２	debug用冷静♀２
558		デバッグ用高潔♂１	debug用清高♀１
559		デバッグ用冷静♂３	debug用冷静♂３
560
626		ジュード	裘德
627		マルディエ	马尔迭
628		エドヴリル	埃德薇尔
629		クロランサン	克罗兰桑
630		マルヴェル	马弗尔
631		ベラモリゾ	贝拉莫里索
632		エゴアール	埃戈亚尔
633		ルモーネ	露莫涅
634		ダルヴィッド	达尔维德
635		クロラン	克罗兰
636		アドン	阿东
637		エルモント	埃尔蒙
638		フロティーナ	弗罗提娜
639		エディモント	埃迪蒙
640		アルバート	阿尔伯特
641		ベルノルト	贝尔诺特
642		アデリーナ	阿德琳娜
643		アヴァ	阿瓦
644		ベルデット	贝尔黛特
645		ランドイル	兰德伊尔
646		バレスチャン	瓦莱斯琴
647		アンダリアン	安达里安
648		マデリン	马德琳
649		ラゴリス	拉格里斯
650		オグリット	奥古丽特
651		マノン	曼侬
652		リービア	利维娅
653		オーラ	奥拉
654		ギネッサ	吉内萨
655		アレキシア	亚历克西娅
656		エリクス	艾利克斯
657		トリアンダ	特里安达
658		イーネス	伊涅斯
659		クリーナ	科里纳
660		フリック	弗利克
661		ブレソール	布雷索
662		フロティーナ	弗罗提娜
663		ダミアン	达米安
664		バルテレミー	巴塞勒米
665		マティルド	玛蒂尔德
666		モルドン	莫尔顿
667		ジェレミー	杰瑞米
668		ダーヴァー	达瓦
669		インハネス	因哈涅斯
670		ララノア	拉拉诺雅
671		ジェローム	杰洛姆
672		ロッティ	洛蒂
673		フォドキア	弗德西亚
674		ブリス	布利斯
675		ヴァルモア	瓦尔莫
676		ホドリック	霍德里克
677		オーバン	奥邦
678		ブルーノ	布鲁诺
679		ボーモン	博蒙
680		バチスト	巴蒂斯特
681		ガストン	加斯顿
682		ランベール	兰贝特
683		ラザール	拉扎尔
684		ロイク	罗伊克
685		ルイゾン	路易松
686		コルネイユ	科尔内耶
687		シリル	西里尔
688		カジミール	卡济米尔
689		コランタン	科朗坦
690		ルノー	鲁诺
691		ガレリウス	伽列里乌斯
692		マンドラン	芒德兰
693		ベレニス	贝伦妮斯
694		ニーナ	尼娜
695		ブリス	布利斯
696		スヴェン	斯韦恩
697		クルト	库尔特
698		ギャメル	贾美尔
699
700		メリザンド	梅丽桑德
701		コーム	寇姆
702		マチアス	马蒂亚斯
703		モニカ	莫妮卡
704		ジスラン	吉斯兰
705
706		タチアナ	塔季扬娜
707		オーシュ	奥修
708		アラミス	亚拉米斯
709		ハーゲン	哈根
710		カトリナ	卡特莉娜
711		カミラ	卡米拉
712		ベルント	伯恩特
713		マゼラン	麦哲伦
714		グロスタ	格洛斯特
715		アントン	安东
716		コルドゥラ	考杜拉
717		ベレンガリア	莉迪尔
718		ベレンガリア	贝伦加丽娅
719		ギース	吉斯
720		ドーリス	多里斯
721		ヒルダ	希尔达
722		ドゥニーズ	丹妮斯
723		マガリー	马加利
724		エルトリンデ	艾尔特琳德
725		ゲイリー	加里
726		バルトロ	巴尔托罗
727		アルチーナ	阿尔奇娜
728		ギャメル	贾美尔
729		セザール	西泽
730		マンドラン	芒德兰
731		イポリート	伊波利托
732		イシリオン	伊西利昂
733		ゼナイド	塞奈达
734		コンラッド	康拉德
735		ジャコブ	雅各布
736		デボラ	德博拉
737		ゴービル	高比尔
738		ベルトラン	伯特兰
739		ライマン	莱曼
740		エルゴール	埃尔戈
741		エルゴール	埃尔戈
742		ボーモン	博蒙
743		バチスト	巴蒂斯特
744		ブラッドリー	布拉德利
745		ザカライアス	扎卡赖亚斯
746		ウメルス	乌梅鲁丝
747		ホードル	霍德尔
748		ギルガメス	吉尔伽美什
749		ナイジェル	奈杰尔
750		サナティオ	萨纳提奥
751
757		ノルベール	诺贝尔
758		テオドラ	狄奥多拉
759		ベリサリオス	贝利萨留斯
760		ナルセス	纳尔塞斯
761		ホロニアス	赫罗尼亚斯
762		ガレリウス	伽列里乌斯
763		バルトロ	巴尔托罗
764		アレイン	亚连
765		スカーレット	斯嘉丽
766		レックス	雷克斯
767		クロエ	克洛伊
768		ジョセフ	约瑟夫
769		クライブ	克莱夫
770		トラヴィス	崔维斯
771		ホドリック	霍德里克
772		オーバン	奥邦
773		モルドン	莫尔顿
774		ブルーノ	布鲁诺
775		ボーモン	博蒙
776		バチスト	巴蒂斯特
777		ヤーナ	雅娜
778		ガストン	加斯顿
779		アデル	阿德勒
780		ルノー	鲁诺
781		ガレリウス	伽列里乌斯
782		キトラ	基特拉
783		ミリアム	米莉安
784		フラウ	芙劳
785		マンドラン	芒德兰
786		オクリース	奥古丽斯
787		シャロン	夏伦
788		ベレニス	贝伦妮斯
789		ニーナ	尼娜
790		ブリス	布利斯
791		スヴェン	斯韦恩
792		クルト	库尔特
793		ギャメル	贾美尔
794		ロルフ	罗尔夫
795		メリザンド	梅丽桑德
796		コーム	寇姆
797		マチアス	马蒂亚斯
798		モニカ	莫妮卡
799		ジスラン	吉斯兰
800		タチアナ	塔季扬娜
801		オーシュ	奥修
802		アラミス	亚拉米斯
803		ハーゲン	哈根
804		セルヴィ	赛尔维
805		ヴァージニア	弗吉尼亚
806		リア	莉亚
807		プリム	普林
808		ジェレミー	杰瑞米
809		ダーヴァー	达瓦
810		インハネス	因哈涅斯
811		カトリナ	卡特莉娜
812		カミラ	卡米拉
813		ベルント	伯恩特
814		マゼラン	麦哲伦
815		グロスタ	格洛斯特
816		アントン	安东
817		アーマリア	阿玛利亚
818		コルドゥラ	考杜拉
819		ベレンガリア	贝伦加丽娅
820		ギルベルト	吉尔贝特
821		ヘルマン	赫尔曼
822		ギース	吉斯
823		ドーリス	多里斯
824		リーザ	里瑟
825		ヒルダ	希尔达
826		ロザリンデ	罗莎琳德
827		ドゥニーズ	丹妮斯
828		リナラゴス	里纳拉格斯
829		ファビオ	法比奥
830		マガリー	马加利
831		エルトリンデ	艾尔特琳德
832		ゲイリー	加里
833		バルトロ	巴尔托罗
834		アルチーナ	阿尔奇娜
835		ギャメル	贾美尔
836		セレスト	塞蕾丝特
837		セザール	西泽
838		ララノア	拉拉诺雅
839		マンドラン	芒德兰
840		ガラドミア	加拉德米娅
841		イポリート	伊波利托
842		リディエル	莉迪尔
843		ゼナイド	塞奈达
844		ユニフィ	优妮菲
845		モラード	莫拉德
846		コンラッド	康拉德
847		ジャコブ	雅各布
848		ダイナ	迪娜
849		ルイ	路伊
850		デボラ	德博拉
851		ラモーナ	拉莫娜
852		ゴービル	高比尔
853		ベルトラン	伯特兰
854		ライマン	莱曼
855		エルゴール	埃尔戈
856		ボーモン	博蒙
857		バチスト	巴蒂斯特
858		ブラッドリー	布拉德利
859		レーニス	莱妮丝
860		ザカライアス	扎卡赖亚斯
861		ジェローム	杰洛姆
862		ロッティ	洛蒂
863		フォドキア	弗德西亚
864		ウメルス	乌梅鲁丝
865		ホードル	霍德尔
866		ギルガメス	吉尔伽美什
867		ナイジェル	奈杰尔
868		サナティオ	萨纳提奥
869		テオドラ	狄奥多拉
870		ベリサリオス	贝利萨留斯
871		ナルセス	纳尔塞斯
